venue,innings,batting_team,bowling_team,team1avgscore,team2avgecoscore,team1vsteam2avgscore,team1venueavgscore,team2venueavgecoscore,venueavgscore,Totalppscore
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,61,61,61,61,61,61,61
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,26,26,26,26,26,26,26
Punjab Cricket Association Stadium,2,Punjab Kings,Chennai Super Kings,56,56,56,56,56,56,56
Arun Jaitley Stadium,2,Delhi Capitals,Rajasthan Royals,55,55,55,55,55,55,55
Punjab Cricket Association Stadium,1,Chennai Super Kings,Punjab Kings,53,53,53,53,53,53,53
Arun Jaitley Stadium,1,Rajasthan Royals,Delhi Capitals,40,40,40,40,40,40,40
Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,47,47,47,47,47,47,47
Wankhede Stadium,2,Royal Challengers Bangalore,Mumbai Indians,40,40,40,40,40,40,40
Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,39,39,39,39,39,39,39
Eden Gardens,2,Kolkata Knight Riders,Sunrisers Hyderabad,26,26,26,26,26,26,26
Sawai Mansingh Stadium,1,Punjab Kings,Rajasthan Royals,54,54,54,54,54,54,54
Sawai Mansingh Stadium,2,Rajasthan Royals,Punjab Kings,53,53,53,53,53,53,53
Rajiv Gandhi International Stadium,2,Delhi Capitals,Sunrisers Hyderabad,44,44,44,44,44,44,44
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Delhi Capitals,25,25,25,25,25,25,25
MA Chidambaram Stadium,1,Chennai Super Kings,Mumbai Indians,52,52,52,52,52,52,52
MA Chidambaram Stadium,2,Mumbai Indians,Chennai Super Kings,52,52,52,52,52,52,52
Rajiv Gandhi International Stadium,2,Rajasthan Royals,Sunrisers Hyderabad,46,35,73,73,73,34,73
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,32,54,57,57,57,47,57
Punjab Cricket Association Stadium,1,Punjab Kings,Mumbai Indians,55,46,56,56,56,54,56
Punjab Cricket Association Stadium,2,Mumbai Indians,Punjab Kings,49,53,39,39,39,55,39
MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,43,54,61,61,61,52,61
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,33,55,57,57,57,43,57
MA Chidambaram Stadium,2,Chennai Super Kings,Kolkata Knight Riders,52,32,45,45,45,55,45
M Chinnaswamy Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,55,54,45,45,45,48,45
Dr DY Patil Sports Academy,2,Sunrisers Hyderabad,Mumbai Indians,40,49,59,59,59,59,59
Punjab Cricket Association Stadium,2,Punjab Kings,Delhi Capitals,55,32,55,56,55,51,55
Punjab Cricket Association Stadium,1,Delhi Capitals,Punjab Kings,49,48,45,45,46,51,45
Dr DY Patil Sports Academy,1,Mumbai Indians,Sunrisers Hyderabad,46,47,27,27,27,27,27
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,41,56,45,41,45,47,45
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,50,51,36,36,53,46,36
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,49,51,40,40,40,32,40
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,41,36,38,38,38,35,38
Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,48,47,58,58,58,47,58
Arun Jaitley Stadium,2,Royal Challengers Bangalore,Delhi Capitals,42,40,55,55,55,51,55
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,47,55,51,51,51,53,51
Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Punjab Kings,45,47,50,41,50,49,50
